ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,score
300104.SZ,2018-2-12,4.56,4.69,4.34,4.46,4.57,-0.11,-2.41,3116808.27,1403621.161,0.5
300104.SZ,2018-2-9,4.57,4.92,4.57,4.57,5.08,-0.51,-10.04,5324391.32,2475222.099,0.5
300104.SZ,2018-2-8,4.34,5.28,4.34,5.08,4.82,0.26,5.39,8783692.57,4109866.907,0.5
300104.SZ,2018-2-7,4.82,4.82,4.82,4.82,5.36,-0.54,-10.07,822437,396414.634,0.5
300104.SZ,2018-2-6,5.36,5.36,5.36,5.36,5.95,-0.59,-9.92,19604,10507.744,0.5
300104.SZ,2018-2-5,5.95,5.95,5.95,5.95,6.61,-0.66,-9.98,17324,10307.78,0.5
300104.SZ,2018-2-2,6.61,6.61,6.61,6.61,7.34,-0.73,-9.95,12781,8448.241,0.5
300104.SZ,2018-2-1,7.34,7.34,7.34,7.34,8.15,-0.81,-9.94,9753,7158.702,0.5
300104.SZ,2018-1-31,8.15,8.15,8.15,8.15,9.05,-0.9,-9.94,12200,9943,0
300104.SZ,2018-1-31,8.15,8.15,8.15,8.15,9.05,-0.9,-9.94,12200,9943,0
300104.SZ,2018-1-30,9.05,9.05,9.05,9.05,10.06,-1.01,-10.04,9785,8855.425,0.5
300104.SZ,2018-1-29,10.06,10.06,10.06,10.06,11.18,-1.12,-10.02,6456,6494.736,0.5
300104.SZ,2018-1-26,11.18,11.18,11.18,11.18,12.42,-1.24,-9.98,10162,11361.116,0.5
300104.SZ,2018-1-25,12.42,12.42,12.42,12.42,13.8,-1.38,-10,8014,9953.388,0.5
300104.SZ,2018-1-24,13.8,13.8,13.8,13.8,15.33,-1.53,-9.98,24286,33514.68,0.5
