date,open,high,low,Close,adj close,volume
2015/12/31,-0.019195,0.031978,0.032171,0.010858,-1.99041,-0.646803831
2015/12/30,-0.013059,0.033445,0.034587,0.02012,-1.372009,-1.239511741
2015/12/29,0.017974,0.036324,0.060255,0.035355,1.855117,-1.019769939
2015/12/28,-0.011201,0.030752,0.03171,0.017244,-1.169113,-1.182229903
2015/12/24,-0.00534,0.038684,0.038684,0.028678,-0.560394,-1.687012651
2015/12/24,-0.00534,0.038684,0.038684,0.028678,-0.560394,-1.687012651
2015/12/23,0.012869,0.035353,0.050603,0.034678,1.333351,-0.953425394
2015/12/22,-0.000932,0.035642,0.038728,0.026481,-0.096611,-0.948352124
2015/12/22,-0.000932,0.035642,0.038728,0.026481,-0.096611,-0.948352124
2015/12/21,0.012261,0.047169,0.048047,0.030477,1.256096,-0.379484743
2015/12/18,-0.027069,0.034302,0.040096,0.004862,-2.850349,1.498497865
2015/12/17,-0.021196,0.041288,0.043426,0.01303,-2.280251,-0.487783699
2015/12/16,0.007693,0.0404,0.049018,0.019137,0.821281,-0.047112488
2015/12/15,-0.017692,0.029999,0.037912,0.015368,-1.922782,-0.159162589
2015/12/14,-0.006185,0.025823,0.030395,0.003968,-0.676354,0.26344086
2015/12/11,-0.025738,0.026236,0.028018,0.005389,-2.888962,-0.40655756
2015/12/10,0.004757,0.038727,0.046783,0.033983,0.531411,-1.089988618
2015/12/9,-0.022076,0.029803,0.03024,0.007393,-2.521813,-0.426727654
2015/12/8,-0.000423,0.028317,0.037767,0.022542,-0.048309,-0.8899288
2015/12/7,-0.006301,0.034533,0.042184,0.024359,-0.724663,-0.975455688
2015/12/4,0.033247,0.035776,0.071353,0.034159,3.7006,0.01201802
2015/12/3,-0.009288,0.037371,0.039507,0.016632,-1.043511,-0.610898911
2015/12/2,-0.009034,0.034967,0.041759,0.023854,-1.024185,-0.925399417
2015/12/1,-0.008115,0.038904,0.039429,0.022369,-0.927566,-0.869063052
2015/11/30,0.004159,0.036549,0.049023,0.03444,0.473442,-0.702725111
2015/11/27,-0.001864,0.037247,0.038299,0.031197,-0.212571,-1.707151998
2015/11/25,-0.00715,0.03784,0.038014,0.02661,-0.821273,-1.386540507
2015/11/24,0.009597,0.031276,0.049031,0.02943,1.091819,-0.563483047
2015/11/24,0.009597,0.031276,0.049031,0.02943,1.091819,-0.563483047
2015/11/23,-0.012993,0.034707,0.038698,0.017964,-1.497642,-0.960147478
2015/11/20,0.004378,0.038627,0.0449,0.035577,0.502434,-0.890789718
2015/11/19,0.012704,0.038056,0.056674,0.030291,1.439666,-0.544550523
2015/11/18,0.031665,0.053811,0.06956,0.051444,3.478363,-0.414686323
2015/11/17,-0.004291,0.041675,0.042853,0.027172,-0.473442,-1.147151311
2015/11/16,0.016379,0.026123,0.052472,0.022622,1.777848,-0.743987712
2015/11/13,-0.029209,0.030317,0.033626,0.004111,-3.265816,-0.447827849
2015/11/12,-0.003359,0.036304,0.041296,0.030867,-0.376824,-0.958490978
2015/11/11,-0.005652,0.031422,0.040728,0.021141,-0.637695,-0.47067294
2015/11/10,-0.031517,0.003464,0.013507,-0.003746,-3.671615,0.063938333
2015/11/9,-0.004048,0.034112,0.041379,0.026333,-0.473443,-0.906766678
2015/11/6,0.001158,0.036594,0.042585,0.0324,0.13527,-0.938632198
2015/11/5,-0.00461,0.03812,0.045276,0.023892,-0.541092,-0.688412338
2015/11/4,-0.00465,0.044146,0.049997,0.031341,-0.548401,-0.483429141
2015/11/3,0.011471,0.036052,0.059211,0.03528,1.337326,-0.459104346
2015/11/2,0.014058,0.050705,0.055576,0.040354,1.61631,-0.970878214
2015/10/30,-0.008546,0.043364,0.045348,0.030084,-0.990952,-0.311276156
2015/10/29,0.010564,0.03443,0.051772,0.030683,1.21225,-0.239712292
2015/10/28,0.041205,0.060993,0.082498,0.053099,4.541085,1.079495669
2015/10/27,-0.006332,0.040479,0.050758,0.027766,-0.70234,0.477352245
2015/10/26,-0.031911,0.030669,0.031105,0.003087,-3.65596,0.34088895
2015/10/23,0.030996,0.050196,0.072964,0.046867,3.444298,0.073124028
2015/10/22,0.015295,0.044605,0.055295,0.042504,1.674057,-0.607647406
2015/10/21,-8.80E-05,0.041499,0.055934,0.038758,-0.009613,-0.602224387
2015/10/20,0.018258,0.035769,0.062096,0.030932,1.962677,-0.33381762
2015/10/19,0.006214,0.037151,0.046044,0.030692,0.663841,-1.064814433
2015/10/16,-0.007331,0.038654,0.040698,0.027039,-0.788933,-0.700715019
2015/10/15,0.014972,0.046188,0.057222,0.042038,1.587471,-0.760637264
2015/10/14,-0.014134,0.034749,0.036887,0.018663,-1.520118,-0.499713572
2015/10/13,0.001703,0.032133,0.047314,0.030829,0.182808,-0.938363161
2015/10/12,-0.004638,0.045053,0.045238,0.033094,-0.50029,-1.037603254
2015/10/9,0.023927,0.044144,0.065786,0.039303,2.520683,-0.180570254
2015/10/8,-0.011554,0.033862,0.033862,0.015284,-1.231483,0.173540197
2015/10/7,-0.004761,0.043413,0.043693,0.021656,-0.509903,-0.411192685
2015/10/6,0.004784,0.03799,0.048405,0.029921,0.509903,-0.356186131
2015/10/5,0.003624,0.034689,0.04872,0.027062,0.384842,-0.20752777
2015/10/2,0.007301,0.024506,0.052961,0.020142,0.769676,0.021349763
2015/10/1,-0.006528,0.027807,0.03299,0.011222,-0.692719,0.248467025
2015/9/30,0.01137,0.049976,0.063033,0.036252,1.193001,0.346238944
2015/9/29,-0.03006,0.043003,0.049289,-0.00294,-3.251884,0.611140542
2015/9/28,-0.019789,0.031605,0.038129,0.018829,-2.183953,-0.205825149
2015/9/25,-0.002522,0.052413,0.054672,0.03054,-0.279007,-0.050440861
2015/9/24,0.005948,0.029669,0.050126,0.021668,0.654221,-0.278445945
2015/9/23,0.008113,0.041506,0.051496,0.038481,0.885139,-0.834307304
2015/9/22,-0.01571,0.022888,0.030105,0.015129,-1.741394,-0.273576373
2015/9/21,0.015513,0.041413,0.056988,0.041321,1.693283,-0.27834986
2015/9/18,-0.004126,0.023796,0.042865,0.020694,-0.452179,0.646495859
2015/9/17,-0.02139,0.032701,0.040112,0.015379,-2.395629,0.25551964
2015/9/16,0.001118,0.039129,0.041722,0.031889,0.125083,-0.779854199
2015/9/15,0.008412,0.044986,0.050395,0.031375,0.933236,-0.542805625
2015/9/14,0.009631,0.060966,0.063788,0.045313,1.058303,0.034555641
2015/9/11,0.014569,0.032196,0.05454,0.031919,1.577843,-0.290129841
2015/9/10,0.02197,0.04053,0.068933,0.037038,2.328262,0.208638007
2015/9/9,-0.019232,0.052817,0.055223,0.015891,-2.078125,1.05871832
2015/9/9,-0.019232,0.052817,0.055223,0.015891,-2.078125,1.05871832
2015/9/8,0.027821,0.062988,0.070693,0.049385,2.924767,-0.100723891
2015/9/4,-0.009966,0.026213,0.040151,0.021881,-1.058304,-0.287024384
2015/9/3,-0.017536,0.040785,0.043469,0.018117,-1.895317,-0.16259089
2015/9/2,0.042889,0.063617,0.083976,0.053003,4.44487,0.170050402
2015/9/1,-0.044697,0.015339,0.031286,-0.010379,-4.848968,0.744909623
2015/8/31,-0.004678,0.027837,0.050774,0.027562,-0.509903,-0.047466079
2015/8/28,0.003277,0.032494,0.042987,0.026695,0.355972,-0.165262044
2015/8/27,0.029447,0.063466,0.073036,0.042524,3.107567,1.043548472
2015/8/26,0.057355,0.072962,0.101016,0.052523,5.724479,1.510846667
2015/8/25,0.006012,0.119933,0.119933,0.043228,0.596482,1.773234691
2015/8/24,-0.024962,-0.067628,0.069274,-0.095834,-2.539925,4.02564005
2015/8/21,-0.061163,0.018914,0.032477,-0.02519,-6.628837,2.72154813
2015/8/21,-0.061163,0.018914,0.032477,-0.02519,-6.628837,2.72154813
2015/8/20,-0.02052,0.030993,0.033433,0.008851,-2.270546,0.424205891
2015/8/19,-0.01279,0.035829,0.039576,0.02316,-1.43351,-0.38505381
