pred_value,true_value,predict_value,true_value
-0.15180574397312105,1.0,0.0,1.0
-0.11332815115147829,1.0,0.0,1.0
-0.06641306164549292,0.0,0.0,0.0
-0.10759620400251449,0.0,0.0,0.0
-0.1242524070822969,1.0,0.0,1.0
-0.1341861881785989,0.0,0.0,0.0
-0.10735333091297745,0.0,1.0,0.0
-0.052596865244746216,1.0,0.0,1.0
-0.09085110526056588,1.0,0.0,1.0
-0.07478914568448067,1.0,0.0,1.0
-0.16658742485785483,1.0,0.0,1.0
-0.16351588680931928,0.0,0.0,0.0
-0.06229189349265397,1.0,0.0,1.0
-0.10723372450537608,0.0,0.0,0.0
-0.08904559312417731,0.0,1.0,0.0
-0.01954367161104084,0.0,0.0,0.0
-0.14052423359119892,0.0,0.0,0.0
-0.13366062302672863,1.0,0.0,1.0
-0.0991169511774704,1.0,0.0,1.0
-0.09678969603648037,0.0,0.0,0.0
-0.1276789917412549,1.0,0.0,1.0
-0.020625060654371988,0.0,1.0,0.0
-0.051957454769551756,1.0,0.0,1.0
-0.06133512714879215,0.0,0.0,0.0
-0.11695970409674197,0.0,0.0,0.0
-0.08858367234123499,1.0,0.0,1.0
-0.05606219149270654,0.0,0.0,0.0
-0.10239283390346542,1.0,0.0,1.0
-0.086174474997852,0.0,1.0,0.0
-0.06245482081265748,1.0,1.0,1.0
-0.05758347863891721,0.0,0.0,0.0
-0.16487138776490093,0.0,1.0,0.0
-0.036701378271296624,0.0,0.0,0.0
-0.1275357899209261,1.0,0.0,1.0
-0.14135283902937174,1.0,0.0,1.0
-0.1367745098655075,0.0,0.0,0.0
-0.1582991767882705,1.0,0.0,1.0
-0.10974755810584501,0.0,0.0,0.0
-0.11064544781365991,0.0,0.0,0.0
-0.12799557981917262,1.0,0.0,1.0
-0.14075371103198825,0.0,0.0,0.0
-0.06085229291343689,1.0,0.0,1.0
-0.1260424829095006,0.0,0.0,0.0
-0.07498251573079825,1.0,0.0,1.0
-0.07447464514823258,1.0,0.0,1.0
-0.07571938255810738,1.0,0.0,1.0
-0.12698833388717473,0.0,0.0,0.0
-0.1631753132314384,0.0,1.0,0.0
-0.06850997779247911,1.0,0.0,1.0
-0.16461425216609238,0.0,0.0,0.0
-0.06031493845844269,0.0,1.0,0.0
-0.06656201658913494,1.0,0.0,1.0
-0.14748869718575477,0.0,1.0,0.0
-0.039649401078909643,1.0,0.0,1.0
-0.08720745695734024,1.0,0.0,1.0
-0.13585375892275572,0.0,1.0,0.0
-0.06399952734583617,1.0,0.0,1.0
-0.14123178991818428,1.0,0.0,1.0
-0.08380325322182477,1.0,0.0,1.0
-0.16282977908843754,0.0,0.0,0.0
-0.06723271365282685,1.0,0.0,1.0
-0.1066473225512132,0.0,0.0,0.0
-0.10819235106115788,1.0,1.0,1.0
-0.060834396666377785,1.0,0.0,1.0
-0.11642914299768956,1.0,0.0,1.0
-0.14459208097630738,1.0,0.0,1.0
-0.10651256996733696,0.0,0.0,0.0
-0.1071076210666038,0.0,1.0,0.0
-0.05741213746452332,1.0,0.0,1.0
-0.10265213753813505,0.0,0.0,0.0
-0.08737943766250834,0.0,0.0,0.0
-0.15624761867591738,1.0,0.0,1.0
-0.13906622018681467,0.0,0.0,0.0
-0.05247519694747031,0.0,0.0,0.0
-0.1334798136124909,1.0,0.0,1.0
-0.06613310815477372,1.0,0.0,1.0
-0.12913347401583194,0.0,0.0,0.0
-0.13379266534464063,0.0,0.0,0.0
-0.1450888628205806,1.0,1.0,1.0
-0.047893343730211264,1.0,1.0,1.0
-0.01430036843204499,1.0,0.0,1.0
-0.1552832168830335,1.0,0.0,1.0
-0.07988877115441115,0.0,0.0,0.0
-0.11165024530695379,0.0,0.0,0.0
-0.08101021799945832,1.0,0.0,1.0
-0.14387180125975607,0.0,0.0,0.0
-0.0985490522727333,0.0,0.0,0.0
-0.11749816247207671,0.0,0.0,0.0
-0.10947857128530368,1.0,0.0,1.0
-0.11663685162471235,0.0,0.0,0.0
-0.09963321261608601,1.0,0.0,1.0
-0.10370141736002267,1.0,0.0,1.0
-0.11120688506928832,0.0,0.0,0.0
-0.10563707622034103,1.0,0.0,1.0
-0.08084320405127109,0.0,0.0,0.0
-0.14733938134507835,1.0,0.0,1.0
-0.07950340565489233,0.0,0.0,0.0
-0.15112226160125436,1.0,0.0,1.0
-0.11790206109577417,0.0,0.0,0.0
-0.08319251460073143,0.0,0.0,0.0
-0.1756630370339155,1.0,0.0,1.0
-0.09311521934246272,0.0,0.0,0.0
-0.10695687844426931,1.0,0.0,1.0
-0.14286230502860248,0.0,0.0,0.0
-0.1143677893614173,1.0,0.0,1.0
-0.07991885475279391,1.0,0.0,1.0
-0.10054290356847086,0.0,0.0,0.0
-0.06098501810514927,0.0,0.0,0.0
-0.11716011871164292,1.0,0.0,1.0
-0.0765208853366375,0.0,1.0,0.0
-0.040982289358541375,1.0,0.0,1.0
-0.12173752263458074,0.0,1.0,0.0
-0.03625185270929337,1.0,0.0,1.0
-0.14397979438999295,1.0,0.0,1.0
-0.034642931271433836,0.0,0.0,0.0
-0.14069836994850635,1.0,0.0,1.0
-0.043079147125124936,0.0,0.0,0.0
-0.17770984687352182,1.0,0.0,1.0
-0.15596717337453364,0.0,0.0,0.0
-0.08206714300043509,1.0,0.0,1.0
-0.13927673638047278,0.0,0.0,0.0
-0.12056571826951205,1.0,0.0,1.0
-0.1377670651652813,1.0,0.0,1.0
-0.16277926058003306,1.0,0.0,1.0
-0.09538253240505792,0.0,0.0,0.0
-0.0717654512604475,1.0,1.0,1.0
-0.06710182302103937,1.0,0.0,1.0
-0.15211069135257602,0.0,0.0,0.0
-0.1571956598032415,0.0,1.0,0.0
-0.05359997501367331,1.0,0.0,1.0
-0.07951876146988571,1.0,0.0,1.0
-0.15582892858111858,0.0,0.0,0.0
-0.10629138254372031,1.0,1.0,1.0
-0.05580229609304667,1.0,0.0,1.0
-0.1337916215738058,1.0,0.0,1.0
-0.12299435363331437,0.0,0.0,0.0
-0.12774413365596532,1.0,0.0,1.0
-0.09672533783444763,1.0,0.0,1.0
-0.04179404232048989,0.0,1.0,0.0
-0.05665121083492041,1.0,0.0,1.0
-0.15366436370031536,1.0,0.0,1.0
-0.14400952239865064,1.0,0.0,1.0
-0.052820501107066875,1.0,0.0,1.0
-0.08875128778447956,0.0,0.0,0.0
-0.09879464978105948,0.0,0.0,0.0
-0.113845380289495,1.0,0.0,1.0
-0.0985145114190653,0.0,0.0,0.0
-0.10332675228066371,1.0,0.0,1.0
-0.15843369938874247,0.0,0.0,0.0
-0.11811127169133723,1.0,1.0,1.0
-0.02717050156274438,0.0,0.0,0.0
-0.13201638675259053,0.0,1.0,0.0
-0.03103626076141,0.0,0.0,0.0
-0.10942273219929635,1.0,1.0,1.0
-0.03741538828642667,1.0,1.0,1.0
-0.01738847943851353,1.0,0.0,1.0
-0.11720081162137538,0.0,0.0,0.0
-0.1573910820091665,1.0,0.0,1.0
-0.12110398558171094,1.0,0.0,1.0
-0.07097964219560475,1.0,0.0,1.0
-0.13180006436252595,1.0,0.0,1.0
-0.10971110662081837,0.0,0.0,0.0
-0.14610791928493977,0.0,1.0,0.0
-0.02842852493697405,0.0,0.0,0.0
-0.11519259122790396,0.0,0.0,0.0
-0.12551155914431067,1.0,0.0,1.0
-0.15590299739012123,0.0,0.0,0.0
-0.14692581457288562,0.0,1.0,0.0
-0.05211442728848756,0.0,0.0,0.0
-0.12388034169995785,1.0,0.0,1.0
-0.13555263280601798,1.0,1.0,1.0
-0.044770597223058345,1.0,0.0,1.0
-0.07717065037233382,0.0,0.0,0.0
-0.12070220103622972,0.0,0.0,0.0
-0.17443040382751823,1.0,0.0,1.0
-0.0899884799695909,1.0,0.0,1.0
-0.12285475724512339,1.0,0.0,1.0
-0.16429373314106466,1.0,0.0,1.0
-0.0536128328550756,1.0,0.0,1.0
-0.07542552037873865,0.0,0.0,0.0
-0.11431701256395876,1.0,1.0,1.0
-0.009634252833664425,1.0,0.0,1.0
-0.06483009295025469,0.0,0.0,0.0
-0.08580556481090934,1.0,0.0,1.0
-0.06608924147406221,1.0,1.0,1.0
-0.01571635856115819,0.0,1.0,0.0
-0.0543002355594337,1.0,0.0,1.0
-0.09179502614674717,0.0,0.0,0.0
-0.11804858529174328,1.0,0.0,1.0
-0.107349490190126,1.0,0.0,1.0
-0.14676103677102922,1.0,0.0,1.0
-0.15333874612012505,1.0,0.0,1.0
-0.10862739297600091,0.0,0.0,0.0
-0.05190463288889826,0.0,1.0,0.0
-0.04448343994447589,1.0,1.0,1.0
-0.04858466322885454,1.0,0.0,1.0
-0.12377973457520455,0.0,0.0,0.0
-0.12364306074535102,0.0,1.0,0.0
-0.04446509080702067,0.0,0.0,0.0
-0.09831159617691859,1.0,1.0,1.0
-0.034093837048202756,0.0,0.0,0.0
-0.08556141000616924,1.0,0.0,1.0
-0.09885939718577638,0.0,0.0,0.0
-0.06819882263021171,1.0,1.0,1.0
-0.05120560363890231,1.0,0.0,1.0
-0.11266568749365956,0.0,0.0,0.0
-0.0966038800604418,0.0,0.0,0.0
-0.14603279962868987,1.0,0.0,1.0
-0.07655380126909912,0.0,1.0,0.0
-0.03011324890488387,1.0,0.0,1.0
-0.15224564561420678,0.0,0.0,0.0
-0.08300722051011027,0.0,1.0,0.0
-0.05445707008832693,0.0,1.0,0.0
-0.07376739487608522,1.0,0.0,1.0
-0.12026099025884271,1.0,0.0,1.0
-0.1412449945037961,1.0,0.0,1.0
-0.07875064166703821,0.0,1.0,0.0
-0.056715991852596404,1.0,0.0,1.0
-0.05456377177329362,0.0,0.0,0.0
-0.12149879986093938,1.0,1.0,1.0
-0.006856916632294666,1.0,0.0,1.0
-0.13375121525877715,0.0,0.0,0.0
-0.05917807034158707,0.0,0.0,0.0
-0.15114637801484765,0.0,0.0,0.0
-0.07206735224434734,0.0,1.0,0.0
-0.06341178175786139,1.0,0.0,1.0
-0.1217480187233314,1.0,0.0,1.0
-0.10028744463713467,1.0,0.0,1.0
-0.12675710149610042,0.0,0.0,0.0
-0.046456453416958456,0.0,1.0,0.0
-0.032954003914535054,0.0,1.0,0.0
-0.05384073933230341,0.0,0.0,0.0
-0.1362374278523922,1.0,0.0,1.0
-0.09112937102691829,0.0,0.0,0.0
-0.1055488545864597,0.0,1.0,0.0
-0.04544018859730661,0.0,0.0,0.0
-0.1376554312208444,1.0,0.0,1.0
-0.05971338678979874,0.0,1.0,0.0
-0.07453049750251323,1.0,1.0,1.0
-0.040355159997135404,1.0,0.0,1.0
-0.10035665902720392,0.0,0.0,0.0
-0.06866078852528334,1.0,0.0,1.0
-0.05270879286029935,1.0,0.0,1.0
-0.044143605851694946,0.0,0.0,0.0
-0.13852621561536194,1.0,0.0,1.0
-0.11962489154466988,1.0,0.0,1.0
-0.1435007955701798,0.0,0.0,0.0
-0.1475376199631542,0.0,0.0,0.0
-0.05569075414197147,0.0,0.0,0.0
-0.08733579300423712,1.0,0.0,1.0
-0.06495170109802485,0.0,1.0,0.0
-0.014846469332814222,0.0,0.0,0.0
-0.06474651344293356,1.0,0.0,1.0
-0.11872778289587796,0.0,0.0,0.0
-0.14670844133557379,1.0,1.0,1.0
-0.03880210683548451,1.0,0.0,1.0
-0.09192840767571331,0.0,1.0,0.0
-0.05900422411718965,1.0,0.0,1.0
-0.1492670350138247,1.0,0.0,1.0
-0.0586111718646586,1.0,1.0,1.0
-0.061148115259051325,0.0,1.0,0.0
-0.06627004911919684,1.0,0.0,1.0
-0.07118787093894184,0.0,0.0,0.0
-0.0990951929783225,1.0,0.0,1.0
-0.07391063915488869,0.0,0.0,0.0
-0.07805271987558901,0.0,0.0,0.0
-0.09844741199176386,1.0,0.0,1.0
-0.10233324608796836,0.0,0.0,0.0
-0.14578026723617316,1.0,0.0,1.0
-0.07147676901498437,0.0,0.0,0.0
-0.12952905254760386,0.0,0.0,0.0
-0.09741793639463932,1.0,0.0,1.0
-0.09526276987410709,0.0,0.0,0.0
-0.0858760971827954,0.0,0.0,0.0
-0.13478373813600839,1.0,0.0,1.0
-0.1267704405335486,1.0,0.0,1.0
-0.059615081268191344,1.0,0.0,1.0
-0.10129039164857567,1.0,0.0,1.0
-0.045338313025623564,0.0,0.0,0.0
-0.11872913449065388,0.0,0.0,0.0
-0.06359966758453847,1.0,0.0,1.0
-0.07191004359582068,0.0,0.0,0.0
-0.09576072021098435,1.0,0.0,1.0
-0.08087269146190584,0.0,0.0,0.0
-0.1664653142848015,1.0,0.0,1.0
-0.1241460963691175,1.0,0.0,1.0
-0.07902246082165837,1.0,0.0,1.0
-0.07630070983999968,0.0,1.0,0.0
-0.05446572454074026,1.0,0.0,1.0
-0.17024537812882662,1.0,0.0,1.0
-0.15826953369656205,0.0,0.0,0.0
-0.11720551035923511,1.0,0.0,1.0
-0.09456356636745483,0.0,0.0,0.0
-0.09024313351673634,1.0,0.0,1.0
-0.09602650318579375,0.0,0.0,0.0
-0.17349882951194048,1.0,0.0,1.0
-0.1255164577908218,0.0,0.0,0.0
-0.0920096625815481,0.0,0.0,0.0
-0.0942287432592325,1.0,0.0,1.0
-0.10336282606217638,0.0,0.0,0.0
-0.12040576304273307,1.0,0.0,1.0
-0.10993192076367884,0.0,1.0,0.0
-0.0567251098100245,0.0,1.0,0.0
-0.09179406906196476,1.0,0.0,1.0
-0.11817391386335344,0.0,0.0,0.0
-0.1358953045401871,0.0,0.0,0.0
-0.12425823804614693,0.0,0.0,0.0
-0.10804913685710728,0.0,1.0,0.0
-0.048281739703357224,1.0,0.0,1.0
-0.1477160693938434,0.0,1.0,0.0
-0.04072410645069183,1.0,0.0,1.0
-0.14737313583241402,1.0,0.0,1.0
-0.13754692505070568,0.0,1.0,0.0
-0.08862991669652612,1.0,0.0,1.0
-0.1865503806283474,0.0,1.0,0.0
-0.04929015678161383,1.0,0.0,1.0
-0.13606350732566416,0.0,0.0,0.0
-0.0835763250586167,0.0,1.0,0.0
-0.06719116980449856,1.0,1.0,1.0
-0.012528668278843177,0.0,1.0,0.0
